step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size
18639,72,0.0,0.0,57,0.001020845491439104,0.06656655669212341,0.9832249,18639
18795,73,40.0,4.0,156,0.001430302276276052,0.0371461883187294,0.9830845,18795
19046,74,60.0,6.0,251,0.0018997890874743462,0.04729587957262993,0.9828586,19046
19547,75,80.0,8.0,501,0.0015386355808004737,0.04811163619160652,0.9824077,19547
20025,76,80.0,8.0,478,0.002467073267325759,0.10986530035734177,0.9819775,20025
20134,77,10.0,1.0,109,0.008552627637982368,0.13465668261051178,0.9818794,20134
20551,78,80.0,8.0,417,0.0026303515769541264,0.1404525190591812,0.9815041,20551
20781,79,40.0,4.0,230,0.003588383551687002,0.09880657494068146,0.9812971,20781
20884,80,30.0,3.0,103,0.0011646617203950882,0.12202764302492142,0.9812044,20884
21137,81,50.0,5.0,253,0.0031623318791389465,0.11762475967407227,0.9809767,21137
21218,82,20.0,2.0,81,0.0016769737703725696,0.09449920058250427,0.9809038,21218
21267,83,0.0,0.0,49,0.001412826357409358,0.09959614276885986,0.9808597,21267
21371,84,10.0,1.0,104,0.011403007432818413,0.13677911460399628,0.9807661,21371
21529,85,40.0,4.0,158,0.002182719763368368,0.12350862473249435,0.9806239,21529
21582,86,0.0,0.0,53,0.00409828033298254,0.1435064971446991,0.9805762,21582
21682,87,20.0,2.0,100,0.0016793131362646818,0.07544605433940887,0.9804862,21682
22048,88,90.0,9.0,366,0.0013361077290028334,0.0635983869433403,0.9801568,22048
22296,89,40.0,4.0,248,0.002814736682921648,0.13117258250713348,0.9799336,22296
22463,90,20.0,2.0,167,0.0017054546624422073,0.15454967319965363,0.9797833,22463
23422,91,150.0,15.0,959,0.0015497650019824505,0.09255194664001465,0.9789202,23422
23628,92,10.0,1.0,206,0.0008370849536731839,0.09603644907474518,0.9787348,23628
23709,93,0.0,0.0,81,0.0006433688104152679,0.05380725860595703,0.9786619,23709
23764,94,0.0,0.0,55,0.004382553976029158,0.08772707730531693,0.9786124,23764
24800,95,90.0,9.0,1036,0.0026683220639824867,0.06430016458034515,0.97768,24800
