step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
51203,81,20.0,2.0,166,0.20100392401218414,-0.2981332540512085,0.0,51203,6.177462416666667e-05
51285,82,10.0,1.0,82,0.00886556040495634,-0.25842440128326416,0.0,51285,6.17734625e-05
52087,83,100.0,10.0,802,0.2060844749212265,-0.22785168886184692,0.0,52087,6.176210083333334e-05
52141,84,0.0,0.0,54,0.012588340789079666,0.44518154859542847,0.0,52141,6.176133583333333e-05
52198,85,0.0,0.0,57,0.008033517748117447,-0.4302453398704529,0.0,52198,6.176052833333333e-05
52340,86,40.0,4.0,142,0.046722590923309326,0.3688896894454956,0.0,52340,6.175851666666667e-05
52388,87,10.0,1.0,48,0.13946254551410675,0.13249599933624268,0.0,52388,6.175783666666666e-05
53014,88,110.0,11.0,626,0.15472516417503357,-0.20532719790935516,0.0,53014,6.174896833333334e-05
53093,89,0.0,0.0,79,0.001373513601720333,0.4486417770385742,0.0,53093,6.174784916666667e-05
53188,90,20.0,2.0,95,0.17106929421424866,0.3535133898258209,0.0,53188,6.174650333333333e-05
53280,91,10.0,1.0,92,0.1383766233921051,-0.263487309217453,0.0,53280,6.17452e-05
53338,92,0.0,0.0,58,0.16402101516723633,0.4187471866607666,0.0,53338,6.174437833333334e-05
53421,93,0.0,0.0,83,0.015761755406856537,-0.07268796861171722,0.0,53421,6.17432025e-05
53537,94,10.0,1.0,116,0.053332749754190445,0.34803587198257446,0.0,53537,6.174155916666667e-05
53963,95,30.0,3.0,426,0.10116223245859146,0.18485039472579956,0.0,53963,6.173552416666667e-05
54019,96,0.0,0.0,56,0.15824662148952484,0.12493772059679031,0.0,54019,6.173473083333333e-05
54283,97,30.0,3.0,264,0.1495179831981659,-0.33156225085258484,0.0,54283,6.173099083333333e-05
54376,98,20.0,2.0,93,0.013825882226228714,-0.30434727668762207,0.0,54376,6.172967333333334e-05
54502,99,20.0,2.0,126,0.0669497549533844,0.11547893285751343,0.0,54502,6.172788833333334e-05
54550,100,0.0,0.0,48,0.1731407791376114,0.3372472822666168,0.0,54550,6.172720833333333e-05
54600,101,0.0,0.0,50,0.02890864573419094,0.2024196833372116,0.0,54600,6.17265e-05
54782,102,50.0,5.0,182,0.012197914533317089,-0.3457128703594208,0.0,54782,6.172392166666667e-05
55143,103,70.0,7.0,361,0.08215148746967316,0.14012454450130463,0.0,55143,6.17188075e-05
55600,104,20.0,2.0,457,0.007502315565943718,0.40536394715309143,0.0,55600,6.171233333333333e-05
55791,105,50.0,5.0,191,0.017256401479244232,-0.0473155677318573,0.0,55791,6.17096275e-05
55849,106,10.0,1.0,58,0.14036792516708374,-0.3053290545940399,0.0,55849,6.170880583333333e-05
55978,107,30.0,3.0,129,0.31538134813308716,0.28054070472717285,0.0,55978,6.170697833333334e-05
56209,108,40.0,4.0,231,0.006669060327112675,-0.1971828043460846,0.0,56209,6.170370583333334e-05
56294,109,20.0,2.0,85,0.019313152879476547,-0.2101059854030609,0.0,56294,6.170250166666666e-05
57180,110,60.0,6.0,886,0.050250209867954254,0.3349466919898987,0.0,57180,6.168995e-05
57235,111,10.0,1.0,55,0.09502062201499939,-0.2749302387237549,0.0,57235,6.168917083333333e-05
57286,112,10.0,1.0,51,0.008769799023866653,0.29399847984313965,0.0,57286,6.168844833333333e-05
57542,113,30.0,3.0,256,0.0032465686090290546,-0.28552618622779846,0.0,57542,6.168482166666667e-05
58144,114,50.0,5.0,602,0.06687694787979126,0.23365363478660583,0.0,58144,6.167629333333333e-05
58283,115,40.0,4.0,139,0.012087592855095863,0.30790576338768005,0.0,58283,6.167432416666667e-05
58380,116,20.0,2.0,97,0.01920895464718342,0.19044634699821472,0.0,58380,6.167295e-05
58433,117,20.0,2.0,53,0.07808010280132294,0.1730973869562149,0.0,58433,6.167219916666667e-05
58574,118,20.0,2.0,141,0.13877210021018982,-0.1730317622423172,0.0,58574,6.167020166666667e-05
58631,119,0.0,0.0,57,0.044648025184869766,0.19204652309417725,0.0,58631,6.166939416666667e-05
58679,120,0.0,0.0,48,0.021144596859812737,-0.03357098624110222,0.0,58679,6.166871416666667e-05
58761,121,20.0,2.0,82,0.011810176074504852,0.2256893515586853,0.0,58761,6.16675525e-05
59045,122,30.0,3.0,284,0.02434220165014267,0.08581637591123581,0.0,59045,6.166352916666667e-05
59429,123,60.0,6.0,384,0.02380845695734024,-0.20009317994117737,0.0,59429,6.165808916666667e-05
61459,124,250.0,22.0,2030,0.006988232955336571,0.1274762898683548,0.0,61459,6.162933083333333e-05
62591,125,220.0,20.0,1132,0.03803257644176483,0.1213444396853447,0.0,62591,6.161329416666667e-05
62770,126,40.0,4.0,179,0.02126730978488922,0.14768266677856445,0.0,62770,6.161075833333333e-05
62877,127,20.0,2.0,107,0.051465440541505814,-0.08716823160648346,0.0,62877,6.16092425e-05
63056,128,40.0,4.0,179,0.014609217643737793,0.018639039248228073,0.0,63056,6.160670666666666e-05
65585,129,110.0,11.0,2529,0.006699823774397373,0.023220710456371307,0.0,65585,6.157087916666667e-05
65869,130,40.0,4.0,284,0.009432921186089516,0.02086590602993965,0.0,65869,6.156685583333333e-05
66343,131,60.0,6.0,474,0.008359923027455807,0.024470757693052292,0.0,66343,6.156014083333333e-05
66692,132,40.0,4.0,349,0.01688077114522457,0.10123686492443085,0.0,66692,6.155519666666667e-05
66777,133,0.0,0.0,85,0.013154713436961174,0.05085034295916557,0.0,66777,6.15539925e-05
66899,134,10.0,1.0,122,0.01752319559454918,0.0513145811855793,0.0,66899,6.155226416666667e-05
67014,135,0.0,0.0,115,0.030415114015340805,0.07355250418186188,0.0,67014,6.1550635e-05
67126,136,10.0,1.0,112,0.019396383315324783,0.09696865826845169,0.0,67126,6.154904833333334e-05
67478,137,70.0,7.0,352,0.014090185984969139,0.06035177409648895,0.0,67478,6.154406166666667e-05
68197,138,100.0,10.0,719,0.011633122339844704,0.10535033047199249,0.0,68197,6.153387583333333e-05
68510,139,30.0,3.0,313,0.010702785104513168,0.08083096891641617,0.0,68510,6.152944166666667e-05
68743,140,20.0,2.0,233,0.008451028726994991,0.06888575106859207,0.0,68743,6.152614083333334e-05
68944,141,50.0,5.0,201,0.009711360558867455,0.08409593999385834,0.0,68944,6.152329333333333e-05
68993,142,0.0,0.0,49,0.010703014209866524,0.06188042089343071,0.0,68993,6.152259916666666e-05
70874,143,205.0,19.0,1881,0.017255591228604317,0.05206829681992531,0.0,70874,6.149595166666667e-05
71117,144,20.0,2.0,243,0.004394421819597483,0.0842345729470253,0.0,71117,6.149250916666667e-05
71498,145,70.0,7.0,381,0.009884069673717022,0.0648985207080841,0.0,71498,6.148711166666667e-05
71757,146,30.0,3.0,259,0.009853526949882507,0.0795617327094078,0.0,71757,6.14834425e-05
71867,147,10.0,1.0,110,0.004947367124259472,0.06125733256340027,0.0,71867,6.148188416666667e-05
72424,148,90.0,9.0,557,0.006734913215041161,0.15323761105537415,0.0,72424,6.147399333333334e-05
72573,149,30.0,3.0,149,0.014252073131501675,0.11767624318599701,0.0,72573,6.14718825e-05
72903,150,70.0,7.0,330,0.008990221656858921,0.09795279055833817,0.0,72903,6.14672075e-05
73618,151,130.0,13.0,715,0.00904638972133398,0.15682265162467957,0.0,73618,6.145707833333334e-05
73667,152,0.0,0.0,49,0.016764407977461815,0.12884309887886047,0.0,73667,6.145638416666667e-05
73721,153,0.0,0.0,54,0.012747835367918015,0.12346239387989044,0.0,73721,6.145561916666667e-05
73865,154,20.0,2.0,144,0.0027958215214312077,0.14484742283821106,0.0,73865,6.145357916666666e-05
74104,155,40.0,4.0,239,0.008150204084813595,0.1352699249982834,0.0,74104,6.145019333333334e-05
74418,156,80.0,8.0,314,0.0051149167120456696,0.1407354176044464,0.0,74418,6.1445745e-05
74879,157,90.0,9.0,461,0.009278086014091969,0.12374670803546906,0.0,74879,6.143921416666667e-05
74934,158,10.0,1.0,55,0.01860911212861538,0.14221158623695374,0.0,74934,6.1438435e-05
75167,159,30.0,3.0,233,0.010138058103621006,0.1327076405286789,0.0,75167,6.143513416666667e-05
75643,160,100.0,10.0,476,0.005476631689816713,0.13382476568222046,0.0,75643,6.142839083333333e-05
75688,161,0.0,0.0,45,0.0028923372738063335,0.13044019043445587,0.0,75688,6.142775333333333e-05
76817,162,250.0,22.0,1129,0.005010847467929125,0.1406305581331253,0.0,76817,6.141175916666666e-05
76962,163,20.0,2.0,145,0.002945853862911463,0.11911243200302124,0.0,76962,6.1409705e-05
77230,164,40.0,4.0,268,0.017734268680214882,0.11375335603952408,0.0,77230,6.140590833333334e-05
77400,165,30.0,3.0,170,0.004810144193470478,0.15154196321964264,0.0,77400,6.14035e-05
77533,166,10.0,1.0,133,0.000494952080771327,0.11783910542726517,0.0,77533,6.140161583333333e-05
77723,167,20.0,2.0,190,0.008351251482963562,0.18627485632896423,0.0,77723,6.139892416666667e-05
77885,168,10.0,1.0,162,0.002209723461419344,0.12499016523361206,0.0,77885,6.139662916666666e-05
78072,169,30.0,3.0,187,0.004919982515275478,0.1354656219482422,0.0,78072,6.139398e-05
78723,170,110.0,11.0,651,0.005956104490906,0.2047940343618393,0.0,78723,6.13847575e-05
78896,171,20.0,2.0,173,0.0075652990490198135,0.14657841622829437,0.0,78896,6.138230666666667e-05
80712,172,175.0,17.0,1816,0.007410605438053608,0.1670139729976654,0.0,80712,6.135658e-05
80864,173,30.0,3.0,152,0.0015942695317789912,0.13408425450325012,0.0,80864,6.135442666666667e-05
81221,174,40.0,4.0,357,0.003345416858792305,0.17449620366096497,0.0,81221,6.134936916666666e-05
81619,175,80.0,8.0,398,0.006956695578992367,0.1649988889694214,0.0,81619,6.134373083333333e-05
81838,176,20.0,2.0,219,0.0024720788933336735,0.1234923005104065,0.0,81838,6.134062833333334e-05
82005,177,40.0,4.0,167,0.006673204712569714,0.228631854057312,0.0,82005,6.13382625e-05
82147,178,40.0,4.0,142,0.007248617708683014,0.19401457905769348,0.0,82147,6.133625083333334e-05
85585,179,90.0,9.0,3438,0.0007349629886448383,0.14254911243915558,0.0,85585,6.128754583333334e-05
85679,180,20.0,2.0,94,0.0013889616820961237,0.15264056622982025,0.0,85679,6.128621416666667e-05
85867,181,60.0,6.0,188,0.0026521252002567053,0.16574782133102417,0.0,85867,6.128355083333333e-05
85947,182,10.0,1.0,80,0.0037902193143963814,0.2531963884830475,0.0,85947,6.12824175e-05
86137,183,50.0,5.0,190,0.0009748861193656921,0.1278180330991745,0.0,86137,6.127972583333333e-05
86298,184,80.0,8.0,161,0.0035033742897212505,0.20074748992919922,0.0,86298,6.1277445e-05
87463,185,90.0,9.0,1165,0.0013662620913237333,0.12374449521303177,0.0,87463,6.126094083333334e-05
87748,186,40.0,4.0,285,0.006118948105722666,0.1715373396873474,0.0,87748,6.125690333333333e-05
87981,187,60.0,6.0,233,0.0011409708531573415,0.1322934329509735,0.0,87981,6.12536025e-05
88205,188,30.0,3.0,224,0.004768225364387035,0.20359601080417633,0.0,88205,6.125042916666667e-05
88396,189,50.0,5.0,191,0.004995513707399368,0.2566322386264801,0.0,88396,6.124772333333334e-05
88477,190,10.0,1.0,81,0.008161688223481178,0.2181536853313446,0.0,88477,6.124657583333333e-05
88588,191,10.0,1.0,111,0.0030501652508974075,0.1695159524679184,0.0,88588,6.124500333333334e-05
88669,192,20.0,2.0,81,0.0006369668990373611,0.14731904864311218,0.0,88669,6.124385583333333e-05
88752,193,20.0,2.0,83,0.00196215882897377,0.24284568428993225,0.0,88752,6.124268e-05
88841,194,0.0,0.0,89,0.003312984248623252,0.23859862983226776,0.0,88841,6.124141916666667e-05
88918,195,30.0,3.0,77,0.0061281765811145306,0.24344521760940552,0.0,88918,6.124032833333333e-05
