step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
58427,62,120.0,1.2,720,0.0001467727852286771,0.08814866840839386,0.94215727,58427,6.14775275e-05
59957,63,150.0,1.5000000000000002,1530,0.0005151154473423958,0.08148481696844101,0.94064257,59957,6.14507525e-05
60371,64,90.0,0.8999999999999999,414,8.098007128864992e-06,0.06467393040657043,0.94023271,60371,6.14435075e-05
61283,65,265.0,2.65,912,2.9297883884282783e-05,0.0623190701007843,0.93932983,61283,6.14275475e-05
61828,66,100.0,0.9999999999999999,545,2.871240758395288e-05,0.06034809723496437,0.93879028,61828,6.141801e-05
62317,67,100.0,0.9999999999999999,489,0.0001491161820013076,0.06231264770030975,0.93830617,62317,6.14094525e-05
63000,68,90.0,0.8999999999999999,683,1.4756991504327743e-06,0.05937818065285683,0.93763,63000,6.13975e-05
63634,69,140.0,1.4000000000000001,634,0.0005023807170800865,0.060420550405979156,0.93700234,63634,6.1386405e-05
65433,70,295.0,2.9499999999999997,1799,1.2117920960008632e-06,0.05856308713555336,0.93522133,65433,6.13549225e-05
66509,71,205.0,2.0500000000000003,1076,0.000150581996422261,0.059370916336774826,0.93415609,66509,6.13360925e-05
67407,72,175.0,1.7500000000000002,898,0.0003390225756447762,0.06353256106376648,0.93326707,67407,6.13203775e-05
68169,73,80.0,0.7999999999999999,762,2.0140082597208675e-06,0.062043264508247375,0.93251269,68169,6.130704250000001e-05
69637,74,100.0,0.9999999999999999,1468,3.660645961645059e-05,0.0640280470252037,0.93105937,69637,6.12813525e-05
71271,75,310.0,3.0999999999999996,1634,4.17102546634851e-06,0.061495158821344376,0.92944171,71271,6.12527575e-05
72891,76,265.0,2.65,1620,0.00014390186697710305,0.06351783126592636,0.92783791,72891,6.122440750000001e-05
73162,77,70.0,0.7,271,3.7356344364525285e-06,0.06019413471221924,0.92756962,73162,6.1219665e-05
74059,78,120.0,1.2,897,1.611612674423668e-06,0.059744883328676224,0.92668159,74059,6.12039675e-05
74640,79,90.0,0.8999999999999999,581,2.342570951441303e-06,0.05809476226568222,0.9261064,74640,6.11938e-05
75268,80,140.0,1.4000000000000001,628,6.833695078967139e-05,0.06258425116539001,0.9254846800000001,75268,6.118281e-05
77355,81,160.0,1.6000000000000003,2087,4.160147909715306e-06,0.0597933791577816,0.9234185500000001,77355,6.11462875e-05
78604,82,220.0,2.2,1249,0.00014220875164028257,0.06042433902621269,0.92218204,78604,6.112443e-05
79642,83,150.0,1.5000000000000002,1038,0.0002933987125288695,0.06267402321100235,0.92115442,79642,6.1106265e-05
80572,84,130.0,1.3,930,1.7988638774113497e-06,0.06418623775243759,0.92023372,80572,6.108999e-05
81332,85,120.0,1.2,760,0.00030684599187225103,0.07139332592487335,0.91948132,81332,6.107669e-05
82253,86,90.0,0.8999999999999999,921,3.17173589792219e-06,0.06420452147722244,0.91856953,82253,6.10605725e-05
84169,87,280.0,2.8,1916,1.0055777238449082e-05,0.06702681630849838,0.91667269,84169,6.10270425e-05
84573,88,110.0,1.0999999999999999,404,0.0003317855589557439,0.0633443221449852,0.91627273,84573,6.10199725e-05
85594,89,140.0,1.4000000000000001,1021,3.396305146452505e-06,0.06362591683864594,0.9152619399999999,85594,6.1002105000000004e-05
86386,90,50.0,0.5,792,0.0003266879648435861,0.062356363981962204,0.91447786,86386,6.0988245e-05
87600,91,150.0,1.5000000000000002,1214,1.1366058970452286e-05,0.06622806191444397,0.913276,87600,6.0967e-05
88162,92,100.0,0.9999999999999999,562,0.00015170365804806352,0.06350737065076828,0.91271962,88162,6.0957165000000004e-05
88709,93,100.0,0.9999999999999999,547,1.3156644854461774e-05,0.06501927971839905,0.91217809,88709,6.09475925e-05
90176,94,190.0,1.9000000000000001,1467,0.00015367293963208795,0.06870497018098831,0.91072576,90176,6.092192e-05
90843,95,110.0,1.0999999999999999,667,0.000322042586049065,0.06816839426755905,0.91006543,90843,6.09102475e-05
91301,96,50.0,0.5,458,0.0001593307388247922,0.06620294600725174,0.90961201,91301,6.09022325e-05
91618,97,40.0,0.4,317,0.00029004833777435124,0.06737874448299408,0.90929818,91618,6.0896685e-05
92237,98,90.0,0.8999999999999999,619,0.00030177735607139766,0.06758095324039459,0.90868537,92237,6.08858525e-05
93140,99,100.0,0.9999999999999999,903,6.05619243287947e-06,0.067755326628685,0.9077914,93140,6.087005e-05
94096,100,140.0,1.4000000000000001,956,2.3498301743529737e-05,0.07257991284132004,0.90684496,94096,6.0853320000000004e-05
94849,101,175.0,1.7500000000000002,753,1.3509399650502019e-05,0.06547100096940994,0.90609949,94849,6.08401425e-05
95947,102,190.0,1.9000000000000001,1098,5.596250048256479e-06,0.06574781984090805,0.90501247,95947,6.0820927500000004e-05
96507,103,100.0,0.9999999999999999,560,5.75003468838986e-06,0.06910772621631622,0.90445807,96507,6.08111275e-05
97706,104,140.0,1.4000000000000001,1199,5.00931810165639e-06,0.06559664011001587,0.90327106,97706,6.0790145e-05
98405,105,150.0,1.5000000000000002,699,8.548835467081517e-06,0.0670553669333458,0.9025790499999999,98405,6.0777912500000004e-05
99284,106,160.0,1.6000000000000003,879,1.3653329006046988e-05,0.07123003900051117,0.90170884,99284,6.076253e-05
100531,107,265.0,2.65,1247,7.289302175195189e-06,0.07442381978034973,0.90047431,100531,6.07407075e-05
100959,108,110.0,1.0999999999999999,428,0.0001998519874177873,0.07168698310852051,0.90005059,100959,6.07332175e-05
101391,109,70.0,0.7,432,0.0007159407832659781,0.07092518359422684,0.89962291,101391,6.07256575e-05
102307,110,220.0,2.2,916,1.4564590856025461e-05,0.07200674712657928,0.89871607,102307,6.0709627500000004e-05
103542,111,220.0,2.2,1235,1.2096530554117635e-05,0.0746527910232544,0.89749342,103542,6.0688015e-05
